# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.33800003 87594.41406250  6235.84667969
0.33900002 88008.01562500  4937.25000000
0.34000000 88399.89062500  6330.31640625
0.34100002 88770.75781250  5920.12207031
0.34200001 89121.45312500  6419.41845703
0.34300002 89449.70312500  4615.60498047
0.34400001 89757.71093750  5109.45800781
0.34500003 90043.26562500  4673.24609375
0.34600002 90308.37500000  6580.77148438
0.34700000 90551.28906250  7090.16601562
0.34800002 90772.15625000  6177.49951172
0.34900001 90973.05468750  4776.08544922
0.35000002 91152.09375000  5279.07373047
0.35100001 91310.12500000  4821.17480469
0.35200003 91446.10937500  6778.90039062
0.35300002 91561.80468750  5348.12500000
0.35400000 91655.94531250  5368.74707031
0.35500002 91730.07031250  5388.22460938
0.35600001 91783.04687500  5406.48046875
0.35700002 91816.48437500  7395.81835938
0.35800001 91829.01562500  5933.99121094
0.35900003 91821.08593750  5950.00683594
0.36000001 91795.03906250  5964.84179688
0.36100003 91747.54687500  5978.27050781
0.36200002 91682.24218750  4992.09814453
0.36300001 91596.73437500  6001.41796875
0.36400002 91493.44531250  6011.11962891
0.36500001 91369.58593750  5517.80957031
0.36600003 91229.21093750  7533.25244141
0.36700001 91070.42187500  6032.50488281
0.36800003 90894.27343750  7043.39794922
0.36900002 90701.40625000  6040.71386719
0.37000000 90489.90625000  6042.91601562
0.37100002 90261.85156250  5540.27294922
0.37200001 90017.75781250  6547.44189453
0.37300003 89757.42968750  6546.00976562
0.37400001 89482.41406250  7046.74023438
0.37500003 89192.20312500  7042.61669922
0.37600002 88885.83593750  7037.09179688
0.37700000 88564.71093750  5523.78125000
0.37800002 88231.34375000  8527.11914062
0.37900001 87881.79687500  5510.18896484
0.38000003 87520.29687500  6002.14257812
0.38100001 87145.35937500  5992.11523438
0.38200003 86756.57031250  6479.41503906
0.38300002 86356.51562500  5471.54882812
0.38400000 85944.49218750  6948.61230469
0.38500002 85520.07812500  7922.58056641
0.38600001 85085.77343750  6420.99804688
0.38700002 84638.82812500  6896.37207031
0.38800001 84182.99218750  6876.90869141
0.38900003 83716.00781250  5387.12548828
0.39000002 83239.89062500  4882.02001953
0.39100003 82754.53906250  6325.75732422
0.39200002 82261.41406250  5819.17285156
0.39300001 81756.72656250  6764.55175781
0.39400002 81246.86718750  5295.26464844
