# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.07100000 2541166.25000000 30189.05664062
0.07200000 2506231.25000000 27443.23437500
0.07300001 2471285.75000000 35660.65625000
0.07400000 2436347.50000000 43854.25390625
0.07500000 2401410.25000000 43801.72656250
0.07600001 2366508.75000000 35533.13281250
0.07700001 2331654.50000000 46376.61328125
0.07800000 2296830.75000000 29939.18945312
0.07900000 2262090.25000000 29859.59179688
0.08000001 2227430.50000000 29769.61132812
0.08100000 2192846.00000000 40458.00781250
0.08200000 2158372.25000000 32246.08203125
0.08300000 2124006.25000000 50848.71093750
0.08400001 2089764.50000000 31973.39843750
0.08500000 2055672.25000000 26518.17187500
0.08600000 2021723.50000000 36936.89062500
0.08700000 1987933.87500000 28864.80078125
0.08800001 1954311.12500000 26090.05468750
0.08900000 1920876.12500000 31118.19335938
0.09000000 1887628.12500000 38649.18750000
0.09100001 1854589.62500000 25593.33789062
0.09200001 1821752.75000000 30496.14257812
0.09300000 1789142.87500000 30272.29882812
0.09400000 1756755.50000000 30040.51953125
0.09500001 1724605.37500000 37251.48046875
0.09600000 1692707.25000000 34480.44531250
0.09700000 1661071.50000000 31743.07812500
0.09800000 1629687.75000000 24200.86523438
0.09900001 1598584.25000000 38366.02343750
0.10000000 1567759.00000000 26126.70507812
0.10100000 1537209.00000000 35278.94921875
0.10200001 1506961.87500000 41908.61328125
0.10300001 1477005.75000000 32257.80859375
0.10400000 1447358.12500000 25075.48046875
0.10500000 1418023.12500000 27055.88281250
0.10600001 1389003.87500000 35669.62109375
0.10700001 1360314.37500000 35259.35156250
0.10800000 1331946.00000000 26132.78125000
0.10900000 1303912.37500000 27968.92187500
0.11000001 1276216.62500000 27623.71093750
0.11100001 1248860.25000000 20980.85351562
0.11200000 1221854.75000000 24852.52734375
0.11300001 1195198.25000000 22481.67968750
0.11400001 1168883.50000000 26212.21484375
0.11500000 1142939.12500000 21875.85546875
0.11600000 1117348.87500000 23531.36718750
0.11700001 1092126.00000000 21263.69335938
0.11800001 1067259.25000000 20955.63671875
0.11900000 1042759.06250000 20646.63085938
0.12000000 1018630.68750000 22185.77734375
0.12100001 994876.68750000 20026.86914062
0.12200001 971484.68750000 25093.45117188
0.12300000 948468.81250000 28226.43359375
0.12400001 925826.75000000 22567.02734375
0.12500000 903550.37500000 22200.23242188
0.12600000 881661.75000000 23513.91992188
0.12700000 860138.06250000 18166.11718750
0.12800001 838988.43750000 19481.31250000
0.12900001 818213.62500000 15955.16699219
0.13000001 797814.62500000 20380.17578125
0.13100001 777779.37500000 16940.03710938
0.13200000 758118.56250000 19661.80468750
0.13300000 738831.18750000 19305.65820312
0.13400000 719912.12500000 14578.22070312
0.13500001 701355.31250000 21461.47265625
0.13600001 683166.87500000 21058.61914062
0.13700001 665338.81250000 16527.01757812
0.13800001 647873.18750000 13508.15722656
0.13900001 630765.93750000 25167.56250000
0.14000000 614014.87500000 15583.69726562
0.14100000 597619.00000000 15275.14160156
0.14200000 581567.68750000 19959.40429688
0.14300001 565868.18750000 14667.30371094
0.14400001 550506.56250000 13170.87011719
0.14500001 535492.43750000 12900.01367188
0.14600001 520814.93750000 18374.35351562
0.14700000 506469.43750000 12367.98339844
0.14800000 492454.09375000 17610.15820312
0.14900000 478767.34375000 14003.94531250
0.15000001 465400.21875000 12649.57812500
0.15100001 452354.28125000 13407.78125000
0.15200001 439625.53125000 12107.28808594
0.15300001 427205.81250000 14802.68261719
0.15400001 415089.81250000 15441.34277344
0.15500000 403276.18750000 10380.32910156
0.15600000 391760.18750000 11071.14355469
0.15700001 380542.03125000 12626.38476562
0.15800001 369606.06250000 8815.10546875
0.15900001 358958.84375000 9476.51367188
0.16000001 348585.21875000 10102.00000000
0.16100001 338493.03125000 10692.99609375
0.16200000 328669.18750000 10446.75000000
0.16300000 319106.81250000 8635.03027344
0.16400000 309810.12500000 7667.80078125
0.16500001 300765.34375000 10484.68066406
0.16600001 291973.84375000 7313.94531250
0.16700001 283425.81250000 14998.89453125
0.16800001 275119.81250000 10461.43164062
0.16900001 267052.09375000 8852.77734375
0.17000000 259215.48437500 7978.65283203
0.17100000 251605.51562500 8438.84960938
0.17200001 244216.28125000 8238.63671875
0.17300001 237046.42187500 9280.36816406
0.17400001 230087.23437500 6039.79003906
0.17500001 223336.39062500 7664.90527344
0.17600001 216786.59375000 7482.38964844
0.17700000 210438.54687500 6742.45117188
0.17800000 204280.09375000 6033.41259766
0.17900001 198312.43750000 7496.21044922
0.18000001 192528.12500000 5749.85253906
0.18100001 186925.64062500 7654.60546875
0.18200001 181494.95312500 4982.03662109
0.18300001 176237.76562500 6323.41162109
0.18400002 171145.15625000 8073.77343750
0.18500000 166214.78125000 7419.82812500
0.18600000 161442.53125000 4981.30957031
0.18700001 156823.18750000 5749.13818359
0.18800001 152350.92187500 4319.14892578
0.18900001 148027.78125000 4640.67138672
0.19000001 143840.37500000 4945.23242188
