# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.03150000 5176624.00000000 32806.85546875
0.03220000 5153427.50000000 38496.10156250
0.03290000 5129835.50000000 33910.77734375
0.03360000 5105829.50000000 31799.10546875
0.03430000 5081437.00000000 26906.20898438
0.03500000 5056641.00000000 40958.79296875
0.03570000 5031497.50000000 49857.10546875
0.03640000 5005977.50000000 28083.53125000
0.03710000 4980049.00000000 28460.97851562
0.03780000 4953767.00000000 31714.01562500
0.03850000 4927173.50000000 40870.90234375
0.03920000 4900201.00000000 32503.03320312
0.03990000 4872893.50000000 35874.23828125
0.04060000 4845230.50000000 45351.35546875
0.04130000 4817274.00000000 36678.72265625
0.04200000 4788993.00000000 37066.80468750
0.04270000 4760391.00000000 46806.54296875
0.04340000 4731470.50000000 50418.54687500
0.04410000 4702269.00000000 31810.84765625
0.04480000 4672792.00000000 32102.08007812
0.04550000 4642984.50000000 42100.26171875
0.04620000 4612956.50000000 35925.70312500
0.04690000 4582608.00000000 39511.24218750
0.04760000 4552030.00000000 43139.58593750
0.04830000 4521192.00000000 60181.58593750
0.04900000 4490110.50000000 37043.41015625
0.04970000 4458777.00000000 37299.89843750
0.05040000 4427211.50000000 34133.79687500
0.05110000 4395460.00000000 44655.67187500
0.05180000 4363451.00000000 55293.64843750
0.05250000 4331278.50000000 55613.61328125
0.05320000 4298868.50000000 45434.74218750
0.05390000 4266282.50000000 59725.82031250
0.05460000 4233512.00000000 38838.23828125
0.05530000 4200577.50000000 39021.26171875
0.05600000 4167457.25000000 39194.93359375
0.05670000 4134182.25000000 53672.01953125
0.05740000 4100755.25000000 43107.14062500
0.05810000 4067176.25000000 68505.47656250
0.05880000 4033447.50000000 43416.02734375
0.05950000 3999611.50000000 36296.47265625
0.06020000 3965654.00000000 50966.58203125
0.06090000 3931570.00000000 40155.08984375
0.06160000 3897385.25000000 36596.44921875
0.06230000 3863092.25000000 44016.07031250
0.06300000 3828724.50000000 55133.63281250
0.06370000 3794242.75000000 36823.12500000
0.06439999 3759705.75000000 44259.25390625
0.06510000 3725085.00000000 44321.06250000
0.06580000 3690423.25000000 44373.64843750
0.06650000 3655684.25000000 55520.70703125
0.06720000 3620910.00000000 51858.67187500
0.06789999 3586088.25000000 48180.88671875
0.06860000 3551229.50000000 37074.83593750
0.06930000 3516367.25000000 59328.14453125
0.07000000 3481461.00000000 40785.31640625
0.07070000 3446549.50000000 55601.45703125
0.07139999 3411635.25000000 66690.64062500
0.07210000 3376722.50000000 51836.06640625
0.07280000 3341827.50000000 40693.42968750
0.07350000 3306937.50000000 44346.03125000
0.07420000 3272081.00000000 59054.51562500
0.07489999 3237260.00000000 58969.92187500
0.07560000 3202462.25000000 44155.54687500
0.07630000 3167716.25000000 47748.56640625
0.07700000 3133010.75000000 47653.09375000
0.07770000 3098363.00000000 36576.17187500
0.07840000 3063774.25000000 43787.46093750
0.07910000 3029276.00000000 40036.42578125
0.07979999 2994830.00000000 47186.53906250
0.08050000 2960468.75000000 39810.90234375
0.08120000 2926194.75000000 43295.97656250
0.08190000 2892013.50000000 39558.40625000
0.08260000 2857936.50000000 39422.37500000
0.08329999 2823957.25000000 39279.83203125
0.08400000 2790086.25000000 42688.32031250
0.08470000 2756347.00000000 38976.12109375
0.08540000 2722701.25000000 49400.69140625
0.08610000 2689202.75000000 56215.09375000
0.08679999 2655835.00000000 45470.54687500
0.08750000 2622597.00000000 45259.46875000
0.08820000 2589505.25000000 48506.60937500
0.08890000 2556556.50000000 37922.67968750
0.08960000 2523767.00000000 41157.58984375
0.09029999 2491136.25000000 34116.10937500
0.09100000 2458670.75000000 44108.55078125
0.09170000 2426365.25000000 37112.46875000
0.09240000 2394224.50000000 43606.01171875
0.09310000 2362262.25000000 43346.32812500
0.09379999 2330475.50000000 33139.35937500
0.09450000 2298881.25000000 49397.21093750
0.09519999 2267470.25000000 49079.39062500
0.09590000 2236253.00000000 39004.72265625
0.09660000 2205221.75000000 32284.44531250
0.09729999 2174405.50000000 60917.05468750
0.09800000 2143778.75000000 38202.13671875
0.09869999 2113378.00000000 37926.67968750
0.09940000 2083168.00000000 50196.01562500
0.10010000 2053188.37500000 37363.92187500
0.10079999 2023412.12500000 33987.25000000
0.10150000 1993861.25000000 33721.17578125
0.10219999 1964530.62500000 48657.49218750
0.10290000 1935432.00000000 33180.07812500
0.10360000 1906553.25000000 47862.10937500
0.10430000 1877913.00000000 38560.12500000
0.10500000 1849506.62500000 35288.58593750
0.10569999 1821329.25000000 37895.48437500
0.10640000 1793399.75000000 34670.00390625
0.10710000 1765703.25000000 42946.31640625
0.10780000 1738256.00000000 45389.33984375
0.10850000 1711055.75000000 30914.49804688
0.10919999 1684098.50000000 33405.77734375
0.10990000 1657391.50000000 38598.98828125
0.11059999 1630929.87500000 27301.76562500
0.11130000 1604733.87500000 29734.91601562
0.11200000 1578779.75000000 32112.37890625
0.11269999 1553086.87500000 34434.26171875
0.11340000 1527655.75000000 34078.94531250
0.11409999 1502477.37500000 28534.29687500
0.11480000 1477558.87500000 25665.19726562
0.11550000 1452904.37500000 35545.30468750
0.11619999 1428508.12500000 25113.17187500
0.11690000 1404377.37500000 52156.46875000
0.11759999 1380509.00000000 36838.87890625
0.11830000 1356907.12500000 31566.40820312
0.11900000 1333561.75000000 28804.93359375
0.11969999 1310479.62500000 30844.10156250
0.12040000 1287675.00000000 30483.12890625
0.12109999 1265129.00000000 34756.25390625
0.12180000 1242846.12500000 22893.22460938
0.12249999 1220834.62500000 29400.74804688
0.12320000 1199088.87500000 29040.73242188
0.12390000 1177603.37500000 26474.87890625
0.12459999 1156388.50000000 23964.99414062
0.12529999 1135444.87500000 30115.40234375
0.12600000 1114760.00000000 23359.79687500
0.12670000 1094336.75000000 31443.03125000
0.12740000 1074188.50000000 20688.86914062
0.12809999 1054292.37500000 26541.28125000
0.12879999 1034668.81250000 34246.50000000
0.12950000 1015304.87500000 31799.34960938
0.13020000 996198.87500000 21565.71289062
0.13090000 977356.75000000 25138.10351562
0.13159999 958777.68750000 19070.08789062
0.13229999 940457.25000000 20684.88476562
0.13300000 922394.06250000 22248.14453125
0.13370000 904588.37500000 27415.81250000
0.13440000 887038.25000000 27023.61914062
0.13509999 869746.56250000 19531.46289062
0.13579999 852703.37500000 17497.47265625
0.13650000 835917.25000000 17240.79296875
0.13720000 819378.00000000 22081.41796875
0.13789999 803091.68750000 18405.65625000
0.13859999 787051.68750000 16480.86132812
0.13929999 771258.31250000 19477.35546875
0.14000000 755709.06250000 17581.57226562
0.14070000 740402.81250000 17310.98828125
0.14139999 725342.56250000 18591.98046875
0.14209999 710514.62500000 18301.43554688
0.14279999 695927.37500000 16512.26757812
0.14350000 681577.56250000 14773.19335938
0.14420000 667461.68750000 21805.97265625
0.14489999 653579.37500000 24316.09375000
0.14559999 639920.68750000 18293.41210938
0.14629999 626496.37500000 13842.43652344
0.14700000 613300.56250000 19061.38085938
0.14770000 600321.75000000 14729.19433594
0.14839999 587568.81250000 15800.89941406
0.14909999 575037.68750000 18125.76171875
0.14979999 562722.56250000 16547.41796875
0.15050000 550621.75000000 13764.16699219
0.15120000 538736.06250000 17219.08203125
0.15189999 527061.31250000 15714.59570312
0.15259999 515595.50000000 14255.18359375
0.15329999 504336.43750000 12840.15234375
0.15400000 493283.87500000 11468.84960938
0.15470000 482431.28125000 13520.61914062
0.15539999 471778.46875000 13281.50683594
0.15609999 461322.68750000 10871.06835938
0.15680000 451064.25000000 14947.36718750
0.15750000 440994.65625000 12581.57714844
0.15820000 431120.03125000 12354.17480469
0.15889999 421429.68750000 12129.58886719
0.15959999 411927.56250000 10915.66796875
0.16030000 402606.75000000 10715.17773438
0.16100000 393470.21875000 12429.72363281
0.16170000 384507.12500000 12199.06542969
0.16239999 375721.84375000 10129.83593750
0.16309999 367111.96875000 14458.33691406
0.16380000 358669.50000000 9752.94140625
0.16450000 350398.71875000 8698.64843750
