# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.18830000 158943.48437500 4513.20019531
0.18900000 155631.96875000 5322.61328125
0.18969999 152399.48437500 5231.26464844
0.19039999 149243.92187500 6427.18896484
0.19109999 146166.48437500 4211.78710938
0.19180000 143162.09375000 5796.34667969
0.19250000 140230.64062500 4070.19433594
0.19319999 137372.43750000 5602.32275391
0.19389999 134583.40625000 3934.54565430
0.19459999 131861.82812500 4255.70849609
0.19530000 129203.93750000 4565.29199219
0.19599999 126617.08593750 4489.84179688
0.19669999 124092.25781250 4415.94677734
0.19739999 121630.45312500 4705.63867188
0.19809999 119227.19531250 5341.08007812
0.19880000 116886.92968750 4554.03173828
0.19949999 114605.29687500 4136.10498047
0.20019999 112379.63281250 3730.77880859
0.20089999 110209.27343750 3337.68774414
0.20159999 108094.32031250 3613.48486328
0.20230000 106033.14062500 5173.56884766
0.20299999 104025.07812500 3501.48413086
0.20369999 102065.78125000 3133.92968750
0.20439999 100157.37500000 3394.43334961
0.20510000 98297.62500000  3950.53247070
0.20580000 96483.56250000  2992.92016602
0.20649999 94718.85156250  3537.74902344
0.20719999 92997.46093750  3775.60375977
0.20789999 91320.41406250  2861.52490234
0.20860000 89686.80468750  3101.72851562
0.20930000 88095.11718750  2778.96044922
0.20999999 86544.47656250  3013.04589844
0.21069999 85034.68750000  3510.35937500
0.21139999 83563.15625000  3461.01855469
0.21210000 82130.98437500  4463.03857422
0.21280000 80734.03125000  3883.71044922
0.21349999 79375.67187500  2809.30346680
0.21419999 78052.59375000  3275.39892578
0.21489999 76762.07031250  2485.93945312
0.21560000 75506.06250000  3189.14965820
0.21630000 74284.11718750  2663.41992188
0.21699999 73094.52343750  4302.34375000
0.21769999 71934.65625000  3067.76123047
0.21839999 70805.81250000  2330.21923828
0.21910000 69707.50781250  2301.39331055
0.21980000 68639.67187500  2728.01513672
0.22049999 67598.92187500  2470.57153320
0.22119999 66587.00000000  2219.34448242
0.22189999 65600.99218750  2412.70605469
0.22260000 64642.09375000  2168.09570312
0.22330000 63708.40234375  2357.81616211
0.22399999 62799.62890625  3179.23120117
0.22469999 61918.57421875  3563.63037109
0.22539999 61059.35937500  3110.36352539
0.22610000 60223.27734375  3692.71069336
0.22679999 59412.06640625  2030.11022949
0.22749999 58621.39062500  2411.09765625
0.22819999 57853.48046875  1989.00256348
0.22889999 57107.10156250  3150.94116211
0.22960000 56381.96093750  2145.27709961
0.23029999 55677.14062500  2124.89013672
0.23099999 54993.89453125  2487.92358398
0.23169999 54328.41796875  2654.86669922
0.23239999 53681.31640625  2631.13598633
0.23310000 53054.73437500  2235.62036133
0.23379999 52446.26953125  2401.30493164
0.23449999 51856.15625000  2381.36425781
0.23519999 51283.57031250  2362.06982422
0.23589998 50728.55468750  1802.63903809
0.23660000 50189.75781250  2504.26806641
0.23729999 49668.64843750  1952.94641113
0.23799999 49163.35937500  2467.50878906
0.23869999 48674.07031250  2275.09887695
0.23939998 48200.76171875  2433.36718750
0.24010000 47741.32812500  1726.56506348
0.24079999 47298.40625000  1887.06445312
0.24149999 46869.69140625  1704.88500977
0.24219999 46457.01171875  2372.65234375
0.24289998 46057.03125000  2527.49462891
0.24360000 45670.84765625  2178.36230469
0.24429999 45301.08593750  1666.85339355
0.24499999 44942.58984375  1824.21960449
0.24569999 44598.24218750  1650.35791016
0.24640000 44266.44531250  2299.81884766
0.24710000 43948.24609375  1799.08740234
0.24779999 43643.00000000  1791.63232422
0.24849999 43351.16796875  1784.65917969
0.24919999 43069.59375000  1778.04199219
0.24990000 42800.23437500  2416.18017578
0.25059998 42544.57812500  1926.75866699
0.25129998 42299.19531250  1920.97546387
0.25200000 42066.32031250  1915.70031738
0.25270000 41845.79296875  1910.92993164
0.25340000 41635.25000000  1588.80114746
0.25409999 41434.87890625  1902.60668945
0.25479999 41247.61328125  1899.20507812
0.25549999 41070.62890625  1738.21166992
0.25619999 40903.22265625  2367.06933594
0.25689998 40747.56250000  1891.58325195
0.25759998 40601.50781250  2204.90527344
0.25829998 40465.40234375  1888.68200684
0.25900000 40340.74218750  1887.94677734
0.25970000 40226.32812500  1730.35559082
0.26040000 40119.11328125  2044.99157715
0.26109999 40024.40625000  2045.62731934
0.26179999 39938.55078125  2204.12866211
0.26249999 39861.40625000  2205.73071289
0.26319999 39792.85937500  2207.78735352
0.26389998 39736.13671875  1736.80676270
0.26459998 39688.19921875  2688.00219727
0.26529998 39647.40234375  1742.08691406
0.26600000 39615.57031250  1903.92431641
0.26670000 39594.20312500  1907.88623047
0.26740000 39580.65234375  2071.57226562
0.26809999 39574.92578125  1757.18603516
0.26879999 39577.07031250  2242.35766602
0.26949999 39588.57812500  2570.09033203
